id,text,keyed,domain,facet
43c98ce8-a07a-4dc2-80f6-c1b2a2485f06,心配性だ,plus,N,1
d50a597f-632b-4f7b-89e6-6d85b50fd1c9,友達を作るのは簡単だ,plus,E,1
888dd864-7449-4e96-8d5c-7a439603ea91,想像力が豊かだ,plus,O,1
ce2fbbf8-7a97-4199-bda5-117e4ecdf3b6,他人を信頼するほうだ,plus,A,1
c7f53c3c-2e77-432f-bb71-7470b67d3aa9,仕事は完璧にこなすほうだ,plus,C,1
48ad12ce-470e-4339-90ac-ea8c43a0103e,短気だ,plus,N,2
458f3957-2359-4077-ade1-34525d633063,大きなパーティが好きだ,plus,E,2
58d571e5-d725-4cf8-a438-32c16ee28eb6,芸術は重要だと思う,plus,O,2
0cf79e27-e702-45c2-9471-04ac96b58e0e,自分のために他人を利用するほうだ,minus,A,2
cda1ca17-b599-4561-a6cd-ff9d36062d27,きれい好きだ,plus,C,2
5e8550d7-b8ef-4905-950a-f81d735d39e2,憂鬱な気分になることが多い,plus,N,3
8af754f2-68e9-48f3-8c5d-2e6633d4472c,世話を焼きがちだ,plus,E,3
0727def6-3d18-4221-bf38-86b58f9f3eed,感情的なほうだ,plus,O,3
ccf3a5c8-fb50-4bd4-8e7a-22af3d657279,人助けが好きだ,plus,A,3
73d84e5d-cbf5-47f0-b8cb-4d2159a52e32,約束は守るほうだ,plus,C,3
b2d9ef74-73f5-4ea8-b00c-7aaca15937df,他人に近づくことが苦手だ,plus,N,4
48a761ef-438e-409b-ae59-ea2ce8f84414,いつも忙しいほうだ,plus,E,4
cae55842-8957-4e3b-83b3-ceff98fb9dcf,いつも同じよりも変化に富むことを好む,plus,O,4
e2028ad3-b128-4f76-be57-398bfe2aff22,健闘することが大好きだ,minus,A,4
b7fc949b-02b6-4cb9-a3e2-dbb3d824b55f,一生懸命に働くほうだ,plus,C,4
481efd08-c810-43b1-a952-f8ac9052f96b,暴飲暴食をしがちだ,plus,N,5
